Record ID,Date,Region,District,Service Type,Role Type,Tenure Band,Fleet Age,Route Cost Per Ton,Stops Per Route,Fleet Utilization Rate,Voluntary Turnover Rate,Safety Incident Rate,Avg Driver Tenure Years,Truck Count,Tons Collected,Revenue
WC-000040_202408,2024-08-01,Central,Upper Midwest,E&P,Helper,5-10 Years,Aging (6-8yr),55.69,18.0,0.9017,0.0231,2.02,4.2,1,10.0,500.0
WC-000041_202408,2024-08-01,Central,Missouri Valley,Residential,Operator,2-5 Years,New (0-2yr),44.28,319.0,0.9267,0.0278,1.83,6.1,12,177.0,9470.0
WC-000042_202408,2024-08-01,Central,Missouri Valley,Commercial,Helper,< 1 Year,Aging (6-8yr),50.72,90.0,0.9412,0.0221,3.07,6.0,6,37.0,2378.0
WC-000043_202408,2024-08-01,Central,Missouri Valley,Industrial,Operator,2-5 Years,Mid-Life (3-5yr),48.78,16.0,0.9027,0.0224,3.05,3.7,5,10.0,500.0
WC-000044_202408,2024-08-01,Central,Missouri Valley,E&P,Mechanic,< 1 Year,Mid-Life (3-5yr),45.12,13.0,0.8854,0.0204,2.81,4.5,3,10.0,500.0
WC-000045_202408,2024-08-01,Central,Ozarks,Residential,Helper,2-5 Years,New (0-2yr),49.83,255.0,0.9316,0.0225,2.97,4.7,24,313.0,18227.0
WC-000046_202408,2024-08-01,Central,Ozarks,Commercial,Mechanic,2-5 Years,End-of-Life (9+yr),51.83,127.0,0.922,0.0259,2.73,6.5,9,86.0,5988.0
WC-000047_202408,2024-08-01,Central,Ozarks,Industrial,Operator,1-2 Years,Mid-Life (3-5yr),49.06,37.0,0.9198,0.0199,3.12,3.6,2,10.0,500.0
WC-000048_202408,2024-08-01,Central,Ozarks,E&P,Mechanic,1-2 Years,Mid-Life (3-5yr),43.81,20.0,0.8296,0.0178,2.18,6.3,2,10.0,500.0
WC-000049_202408,2024-08-01,Eastern,Mid-Atlantic,Residential,Mechanic,10+ Years,End-of-Life (9+yr),47.08,282.0,0.9449,0.0157,1.74,4.8,11,183.0,10960.0
WC-000050_202408,2024-08-01,Eastern,Mid-Atlantic,Commercial,Mechanic,1-2 Years,Mid-Life (3-5yr),47.1,91.0,0.8612,0.0178,2.97,4.6,9,60.0,3383.0
WC-000051_202408,2024-08-01,Eastern,Mid-Atlantic,Industrial,Mechanic,< 1 Year,New (0-2yr),39.6,38.0,0.9168,0.027,2.81,5.3,3,10.0,500.0
WC-000052_202408,2024-08-01,Eastern,Mid-Atlantic,E&P,Mechanic,10+ Years,New (0-2yr),50.12,16.0,0.9008,0.0279,2.79,5.0,1,10.0,500.0
WC-000053_202408,2024-08-01,Eastern,New England,Residential,Driver,1-2 Years,Aging (6-8yr),49.23,284.0,0.9357,0.0173,3.14,6.0,10,60.0,3642.0
WC-000054_202408,2024-08-01,Eastern,New England,Commercial,Driver,2-5 Years,Mid-Life (3-5yr),50.88,94.0,0.9157,0.0268,2.03,5.7,10,58.0,3630.0
WC-000055_202408,2024-08-01,Eastern,New England,Industrial,Driver,5-10 Years,Mid-Life (3-5yr),43.24,26.0,0.8922,0.0174,3.07,5.7,3,10.0,500.0
WC-000056_202408,2024-08-01,Eastern,New England,E&P,Driver,10+ Years,End-of-Life (9+yr),40.61,16.0,0.9012,0.0221,2.5,4.1,2,10.0,500.0
WC-000057_202408,2024-08-01,Eastern,Great Lakes,Residential,Mechanic,10+ Years,Aging (6-8yr),41.83,272.0,0.8645,0.0246,2.05,5.4,8,138.0,7518.0
WC-000058_202408,2024-08-01,Eastern,Great Lakes,Commercial,Mechanic,5-10 Years,New (0-2yr),40.12,118.0,0.8458,0.0224,1.98,4.4,7,46.0,2351.0
WC-000059_202408,2024-08-01,Eastern,Great Lakes,Industrial,Driver,< 1 Year,New (0-2yr),49.54,38.0,0.9753,0.0245,3.05,5.5,5,10.0,588.0
WC-000060_202408,2024-08-01,Eastern,Great Lakes,E&P,Operator,2-5 Years,New (0-2yr),43.25,16.0,0.9253,0.0215,1.48,3.9,1,10.0,500.0
WC-000061_202408,2024-08-01,Eastern,Ohio Valley,Residential,Operator,2-5 Years,Mid-Life (3-5yr),50.57,291.0,0.9222,0.0228,2.56,3.5,8,103.0,6633.0
WC-000062_202408,2024-08-01,Eastern,Ohio Valley,Commercial,Operator,1-2 Years,Mid-Life (3-5yr),49.12,112.0,0.9155,0.0161,2.41,3.7,5,25.0,1443.0
WC-000063_202408,2024-08-01,Eastern,Ohio Valley,Industrial,Mechanic,2-5 Years,Aging (6-8yr),44.0,25.0,0.8659,0.0216,2.61,4.0,5,10.0,500.0
WC-000064_202408,2024-08-01,Eastern,Ohio Valley,E&P,Driver,2-5 Years,Aging (6-8yr),38.89,18.0,0.8657,0.0169,2.52,5.9,2,10.0,500.0
WC-000065_202408,2024-08-01,Canada,Ontario,Residential,Mechanic,5-10 Years,End-of-Life (9+yr),40.57,267.0,0.8759,0.0295,1.97,5.5,23,162.0,8418.0
WC-000066_202408,2024-08-01,Canada,Ontario,Commercial,Driver,5-10 Years,Aging (6-8yr),52.87,149.0,0.8682,0.0279,3.23,5.3,5,44.0,2831.0
WC-000067_202408,2024-08-01,Canada,Ontario,Industrial,Helper,2-5 Years,Mid-Life (3-5yr),46.4,29.0,0.8722,0.0233,2.86,5.2,5,10.0,544.0
WC-000068_202408,2024-08-01,Canada,Ontario,E&P,Driver,2-5 Years,New (0-2yr),40.3,11.0,0.894,0.021,2.62,5.8,4,10.0,500.0
WC-000069_202408,2024-08-01,Canada,Alberta,Residential,Helper,5-10 Years,New (0-2yr),44.01,259.0,0.9263,0.021,3.35,5.9,11,121.0,6682.0
WC-000070_202408,2024-08-01,Canada,Alberta,Commercial,Operator,1-2 Years,Aging (6-8yr),39.02,122.0,0.9039,0.0239,2.84,5.5,14,113.0,5189.0
WC-000071_202408,2024-08-01,Canada,Alberta,Industrial,Driver,< 1 Year,New (0-2yr),42.53,21.0,0.9448,0.022,2.67,3.9,3,10.0,500.0
WC-000072_202408,2024-08-01,Canada,Alberta,E&P,Driver,1-2 Years,Aging (6-8yr),47.06,12.0,0.9477,0.0243,1.99,6.1,3,10.0,500.0
WC-000073_202408,2024-08-01,Canada,British Columbia,Residential,Driver,5-10 Years,New (0-2yr),43.59,270.0,0.8846,0.0179,1.61,4.7,23,420.0,24451.0
WC-000074_202408,2024-08-01,Canada,British Columbia,Commercial,Driver,5-10 Years,Aging (6-8yr),44.16,91.0,0.952,0.0289,2.6,6.0,11,42.0,2156.0
WC-000075_202408,2024-08-01,Canada,British Columbia,Industrial,Operator,10+ Years,Aging (6-8yr),51.11,23.0,0.8908,0.0217,2.83,5.0,6,10.0,500.0
WC-000076_202408,2024-08-01,Canada,British Columbia,E&P,Driver,< 1 Year,Mid-Life (3-5yr),46.01,16.0,0.9232,0.017,2.82,6.3,3,10.0,500.0
WC-000077_202408,2024-08-01,Canada,Quebec,Residential,Mechanic,10+ Years,New (0-2yr),52.36,274.0,0.8876,0.0216,1.65,5.4,16,125.0,7690.0
WC-000078_202408,2024-08-01,Canada,Quebec,Commercial,Driver,10+ Years,Mid-Life (3-5yr),40.3,131.0,0.8626,0.0229,3.31,5.9,10,84.0,4400.0
WC-000079_202408,2024-08-01,Canada,Quebec,Industrial,Driver,2-5 Years,Aging (6-8yr),36.46,27.0,0.8517,0.019,3.04,3.8,5,10.0,500.0
WC-000080_202408,2024-08-01,Canada,Quebec,E&P,Operator,5-10 Years,Aging (6-8yr),44.75,13.0,0.9062,0.0283,3.4,6.0,4,10.0,500.0
WC-000081_202408,2024-08-01,MidSouth,Tennessee Valley,Residential,Helper,10+ Years,End-of-Life (9+yr),39.33,295.0,0.8549,0.0155,2.88,5.2,18,316.0,16217.0
WC-000082_202408,2024-08-01,MidSouth,Tennessee Valley,Commercial,Helper,2-5 Years,New (0-2yr),40.14,85.0,0.9508,0.0193,3.14,5.5,12,50.0,2682.0
WC-000083_202408,2024-08-01,MidSouth,Tennessee Valley,Industrial,Driver,5-10 Years,Mid-Life (3-5yr),46.46,18.0,0.8401,0.0166,2.74,3.8,7,10.0,515.0
WC-000084_202408,2024-08-01,MidSouth,Tennessee Valley,E&P,Driver,< 1 Year,Aging (6-8yr),45.42,11.0,0.9361,0.0263,2.84,4.1,1,10.0,500.0
WC-000085_202408,2024-08-01,MidSouth,Mississippi Delta,Residential,Operator,1-2 Years,New (0-2yr),46.68,259.0,0.8824,0.0164,2.73,6.2,9,149.0,8876.0
WC-000086_202408,2024-08-01,MidSouth,Mississippi Delta,Commercial,Helper,1-2 Years,End-of-Life (9+yr),39.68,137.0,0.9038,0.0151,2.89,3.6,8,80.0,4025.0
WC-000087_202408,2024-08-01,MidSouth,Mississippi Delta,Industrial,Mechanic,2-5 Years,Mid-Life (3-5yr),43.72,32.0,0.8786,0.0243,2.22,5.8,4,10.0,500.0
WC-000088_202408,2024-08-01,MidSouth,Mississippi Delta,E&P,Operator,< 1 Year,Aging (6-8yr),43.67,16.0,0.9296,0.0296,1.86,5.8,2,10.0,500.0
WC-000089_202408,2024-08-01,MidSouth,Arkansas,Residential,Driver,10+ Years,Mid-Life (3-5yr),37.98,326.0,0.8814,0.0237,2.42,4.1,12,180.0,9166.0
WC-000090_202408,2024-08-01,MidSouth,Arkansas,Commercial,Driver,5-10 Years,End-of-Life (9+yr),47.49,82.0,0.9396,0.0288,2.91,3.5,13,25.0,1507.0
WC-000091_202408,2024-08-01,MidSouth,Arkansas,Industrial,Helper,1-2 Years,Aging (6-8yr),38.76,38.0,0.873,0.023,2.31,4.5,3,10.0,500.0
WC-000092_202408,2024-08-01,MidSouth,Arkansas,E&P,Driver,< 1 Year,Aging (6-8yr),51.92,12.0,0.8483,0.0173,1.99,4.3,1,10.0,500.0
WC-000093_202408,2024-08-01,MidSouth,Oklahoma,Residential,Driver,1-2 Years,End-of-Life (9+yr),46.87,261.0,0.9372,0.0219,3.0,4.5,11,93.0,5758.0
WC-000094_202408,2024-08-01,MidSouth,Oklahoma,Commercial,Driver,5-10 Years,Aging (6-8yr),50.22,95.0,0.8962,0.0299,2.9,3.6,7,21.0,1222.0
WC-000095_202408,2024-08-01,MidSouth,Oklahoma,Industrial,Driver,10+ Years,New (0-2yr),39.43,22.0,0.865,0.0247,1.74,6.4,6,10.0,500.0
WC-000096_202408,2024-08-01,MidSouth,Oklahoma,E&P,Driver,< 1 Year,Mid-Life (3-5yr),44.52,9.0,0.9544,0.0272,2.36,6.4,2,10.0,500.0
WC-000097_202409,2024-09-01,Western,Pacific Northwest,Residential,Driver,5-10 Years,Aging (6-8yr),46.83,300.0,0.9389,0.0197,2.32,5.9,10,193.0,10761.0
WC-000098_202409,2024-09-01,Western,Pacific Northwest,Commercial,Driver,10+ Years,New (0-2yr),46.15,119.0,0.9303,0.027,3.15,4.2,13,91.0,5642.0
WC-000099_202409,2024-09-01,Western,Pacific Northwest,Industrial,Driver,2-5 Years,End-of-Life (9+yr),48.74,35.0,0.8931,0.0187,3.34,5.6,7,19.0,1089.0
WC-000100_202409,2024-09-01,Western,Pacific Northwest,E&P,Driver,< 1 Year,New (0-2yr),50.84,18.0,0.9503,0.0277,3.21,5.3,1,10.0,500.0
WC-000101_202409,2024-09-01,Western,Northern California,Residential,Mechanic,5-10 Years,Mid-Life (3-5yr),41.86,324.0,0.85,0.0283,2.99,4.4,23,367.0,19945.0
WC-000102_202409,2024-09-01,Western,Northern California,Commercial,Driver,5-10 Years,Aging (6-8yr),43.83,140.0,0.8438,0.0293,1.66,5.6,10,110.0,5794.0
WC-000103_202409,2024-09-01,Western,Northern California,Industrial,Driver,2-5 Years,Aging (6-8yr),41.94,39.0,0.8743,0.0211,2.87,3.4,2,10.0,500.0
WC-000104_202409,2024-09-01,Western,Northern California,E&P,Mechanic,2-5 Years,End-of-Life (9+yr),38.1,18.0,0.8894,0.0219,2.48,4.1,1,10.0,500.0
WC-000105_202409,2024-09-01,Western,Southern California,Residential,Mechanic,5-10 Years,New (0-2yr),44.36,341.0,0.9119,0.0189,3.0,4.4,15,226.0,12193.0
WC-000106_202409,2024-09-01,Western,Southern California,Commercial,Mechanic,10+ Years,Aging (6-8yr),48.06,124.0,0.9329,0.0284,2.87,5.0,7,22.0,1290.0
WC-000107_202409,2024-09-01,Western,Southern California,Industrial,Driver,1-2 Years,Mid-Life (3-5yr),50.29,21.0,0.8978,0.0271,1.66,4.8,4,10.0,500.0
WC-000108_202409,2024-09-01,Western,Southern California,E&P,Operator,5-10 Years,Mid-Life (3-5yr),38.65,14.0,0.9184,0.0174,2.67,3.6,3,10.0,500.0
WC-000109_202409,2024-09-01,Western,Mountain West,Residential,Operator,10+ Years,Aging (6-8yr),43.32,298.0,0.9208,0.0207,1.57,3.6,24,560.0,31670.0
WC-000110_202409,2024-09-01,Western,Mountain West,Commercial,Driver,5-10 Years,Mid-Life (3-5yr),52.56,119.0,0.8672,0.0186,3.0,4.6,6,32.0,2237.0
WC-000111_202409,2024-09-01,Western,Mountain West,Industrial,Driver,< 1 Year,Aging (6-8yr),54.32,28.0,0.9155,0.0181,2.41,3.6,5,10.0,749.0
WC-000112_202409,2024-09-01,Western,Mountain West,E&P,Helper,2-5 Years,End-of-Life (9+yr),38.99,20.0,0.8903,0.0281,2.39,4.9,3,10.0,500.0
WC-000113_202409,2024-09-01,Southern,Gulf Coast,Residential,Driver,< 1 Year,Mid-Life (3-5yr),53.45,336.0,0.9669,0.0159,3.42,5.0,9,156.0,10939.0
WC-000114_202409,2024-09-01,Southern,Gulf Coast,Commercial,Mechanic,< 1 Year,Mid-Life (3-5yr),50.91,150.0,0.865,0.0151,1.62,4.6,8,29.0,1788.0
WC-000115_202409,2024-09-01,Southern,Gulf Coast,Industrial,Operator,1-2 Years,Mid-Life (3-5yr),39.56,38.0,0.8657,0.0295,2.34,4.3,7,20.0,952.0
WC-000116_202409,2024-09-01,Southern,Gulf Coast,E&P,Operator,1-2 Years,Aging (6-8yr),40.62,16.0,0.9735,0.0242,2.24,5.4,3,10.0,500.0
WC-000117_202409,2024-09-01,Southern,Southeast Texas,Residential,Driver,10+ Years,Mid-Life (3-5yr),46.83,265.0,0.9461,0.0273,3.05,4.5,13,86.0,5376.0
WC-000118_202409,2024-09-01,Southern,Southeast Texas,Commercial,Driver,5-10 Years,Aging (6-8yr),46.78,117.0,0.9393,0.0236,3.44,6.3,9,69.0,4324.0
WC-000119_202409,2024-09-01,Southern,Southeast Texas,Industrial,Operator,2-5 Years,New (0-2yr),47.84,18.0,0.9081,0.0244,1.55,4.5,3,10.0,500.0
WC-000120_202409,2024-09-01,Southern,Southeast Texas,E&P,Operator,< 1 Year,Aging (6-8yr),48.77,17.0,0.9206,0.0157,2.2,6.3,3,10.0,500.0
WC-000121_202409,2024-09-01,Southern,Florida Panhandle,Residential,Operator,5-10 Years,Mid-Life (3-5yr),46.44,256.0,0.8622,0.0212,2.49,4.8,22,402.0,23624.0
WC-000122_202409,2024-09-01,Southern,Florida Panhandle,Commercial,Mechanic,2-5 Years,End-of-Life (9+yr),38.08,107.0,0.8806,0.0217,2.37,4.6,12,86.0,4067.0
WC-000123_202409,2024-09-01,Southern,Florida Panhandle,Industrial,Driver,1-2 Years,New (0-2yr),42.66,17.0,0.8799,0.0187,2.44,5.7,4,10.0,500.0
WC-000124_202409,2024-09-01,Southern,Florida Panhandle,E&P,Mechanic,1-2 Years,Mid-Life (3-5yr),43.86,11.0,0.8701,0.0287,2.08,5.0,2,10.0,500.0
WC-000125_202409,2024-09-01,Southern,Carolinas,Residential,Mechanic,2-5 Years,New (0-2yr),46.27,256.0,0.8672,0.0217,1.88,3.5,13,213.0,12031.0
WC-000126_202409,2024-09-01,Southern,Carolinas,Commercial,Driver,5-10 Years,Aging (6-8yr),46.26,145.0,0.9678,0.0209,3.26,5.9,9,40.0,2312.0
WC-000127_202409,2024-09-01,Southern,Carolinas,Industrial,Driver,< 1 Year,New (0-2yr),49.31,21.0,0.8515,0.0287,1.45,6.2,3,10.0,500.0
WC-000128_202409,2024-09-01,Southern,Carolinas,E&P,Driver,2-5 Years,Aging (6-8yr),42.49,11.0,0.8705,0.0289,1.87,4.9,4,10.0,500.0
WC-000129_202409,2024-09-01,Central,Great Plains,Residential,Driver,< 1 Year,Aging (6-8yr),49.66,303.0,0.8521,0.0187,2.08,5.4,11,137.0,8944.0
WC-000130_202409,2024-09-01,Central,Great Plains,Commercial,Driver,1-2 Years,New (0-2yr),48.51,85.0,0.8767,0.0289,2.18,5.2,8,23.0,1409.0
WC-000131_202409,2024-09-01,Central,Great Plains,Industrial,Driver,2-5 Years,Aging (6-8yr),47.72,25.0,0.8996,0.0197,2.84,6.0,4,10.0,500.0
WC-000132_202409,2024-09-01,Central,Great Plains,E&P,Mechanic,10+ Years,Aging (6-8yr),47.27,17.0,0.9333,0.0166,2.49,5.2,1,10.0,500.0
WC-000133_202409,2024-09-01,Central,Upper Midwest,Residential,Driver,< 1 Year,Aging (6-8yr),39.64,335.0,0.9264,0.0258,2.53,6.5,8,91.0,4678.0
WC-000134_202409,2024-09-01,Central,Upper Midwest,Commercial,Mechanic,1-2 Years,End-of-Life (9+yr),50.17,146.0,0.8275,0.0227,2.87,6.0,12,133.0,8841.0
WC-000135_202409,2024-09-01,Central,Upper Midwest,Industrial,Driver,1-2 Years,Mid-Life (3-5yr),51.18,21.0,0.8648,0.0179,1.56,4.8,7,10.0,500.0
WC-000136_202409,2024-09-01,Central,Upper Midwest,E&P,Driver,10+ Years,Mid-Life (3-5yr),43.89,17.0,0.929,0.0167,3.08,5.7,1,10.0,500.0
WC-000137_202409,2024-09-01,Central,Missouri Valley,Residential,Helper,1-2 Years,New (0-2yr),40.77,278.0,0.8813,0.0248,3.69,5.4,22,369.0,19046.0
WC-000138_202409,2024-09-01,Central,Missouri Valley,Commercial,Driver,2-5 Years,End-of-Life (9+yr),43.39,82.0,0.8693,0.0167,2.47,5.3,14,69.0,3749.0
WC-000139_202409,2024-09-01,Central,Missouri Valley,Industrial,Driver,5-10 Years,Aging (6-8yr),44.31,38.0,0.8837,0.0272,3.07,6.0,2,10.0,500.0
WC-000140_202409,2024-09-01,Central,Missouri Valley,E&P,Driver,5-10 Years,Mid-Life (3-5yr),39.35,17.0,0.8915,0.0251,1.78,6.4,1,10.0,500.0
WC-000141_202409,2024-09-01,Central,Ozarks,Residential,Driver,< 1 Year,Aging (6-8yr),42.8,333.0,0.8944,0.0265,2.47,5.4,18,228.0,12199.0
WC-000142_202409,2024-09-01,Central,Ozarks,Commercial,Driver,5-10 Years,New (0-2yr),37.97,143.0,0.8675,0.0263,2.34,5.5,12,61.0,2996.0
WC-000143_202409,2024-09-01,Central,Ozarks,Industrial,Operator,2-5 Years,Aging (6-8yr),37.42,35.0,0.862,0.027,3.0,5.5,4,10.0,500.0
WC-000144_202409,2024-09-01,Central,Ozarks,E&P,Mechanic,1-2 Years,Mid-Life (3-5yr),40.38,11.0,0.9155,0.0185,1.67,4.0,3,10.0,500.0
WC-000145_202409,2024-09-01,Eastern,Mid-Atlantic,Residential,Mechanic,2-5 Years,New (0-2yr),50.1,309.0,0.8563,0.0214,2.62,5.7,14,140.0,8618.0
WC-000146_202409,2024-09-01,Eastern,Mid-Atlantic,Commercial,Operator,5-10 Years,Aging (6-8yr),54.51,113.0,0.9115,0.0153,3.13,3.8,7,41.0,2801.0
WC-000147_202409,2024-09-01,Eastern,Mid-Atlantic,Industrial,Helper,5-10 Years,Mid-Life (3-5yr),48.16,27.0,0.851,0.0211,2.88,3.5,5,10.0,571.0
WC-000148_202409,2024-09-01,Eastern,Mid-Atlantic,E&P,Driver,2-5 Years,Aging (6-8yr),44.08,17.0,0.9083,0.0257,2.28,4.6,4,10.0,500.0
WC-000149_202409,2024-09-01,Eastern,New England,Residential,Operator,5-10 Years,Mid-Life (3-5yr),47.44,311.0,0.9099,0.0151,1.87,5.6,17,346.0,19884.0
WC-000150_202409,2024-09-01,Eastern,New England,Commercial,Helper,2-5 Years,Mid-Life (3-5yr),44.33,108.0,0.914,0.0179,2.56,6.1,10,63.0,3637.0
WC-000151_202409,2024-09-01,Eastern,New England,Industrial,Driver,2-5 Years,Mid-Life (3-5yr),40.96,37.0,0.9063,0.0193,2.75,5.9,5,13.0,700.0
WC-000152_202409,2024-09-01,Eastern,New England,E&P,Operator,10+ Years,End-of-Life (9+yr),44.99,14.0,0.9576,0.0214,2.68,3.7,2,10.0,500.0
WC-000153_202409,2024-09-01,Eastern,Great Lakes,Residential,Driver,5-10 Years,Mid-Life (3-5yr),47.08,259.0,0.9357,0.0243,2.58,5.5,18,271.0,15843.0
